# ThAr line list for LR; ACS Jun 2016
# lambda line
7972.5960 ThI
7974.1592 ThI
7978.9731 ThI
7987.9731 ThI
7993.6808 ThI
8000.0449 ThI
8006.1567 ArI
8014.7857 ArI
8017.5275 ArII
8022.2014 ThI
8024.2530 ThI
8025.7271 ThI
8030.2004 ThI
8032.4313 ThI
8032.9061 ThI
8037.2183 ArI
8046.1169 ArI
8053.3085 ArI
8062.6304 ThI
8066.604  ArI
8075.6518 ThI
8085.2190 ThI
8093.6238 ThI
8094.0559 ArI
8103.6931 ArI
8115.3110 ArI
8119.1811 ArI
8129.4051 ThI
8138.4753 ThI
8143.1380 ThI
8159.7277 ThI
8163.1210 ThII
8166.4477 ThII
8169.7865 ThI
8186.9113 ThI
8202.1469 ThI
8203.435  ArI
8207.4785 ThI
8214.1472 ThI
8231.4069 ThI
8252.3936 ThI
8253.6156 ThI
8259.5110 ThI
8264.5225 ArI
8275.6266 ThI
8295.5497 ThI
8297.1765 ThI
8311.6306 Th
8320.8554 ThI
8330.4494 ThI
8358.7260 ThI
8366.0741 ThI
8367.3936 ThI
8369.3404 ThI
8379.2261 ThI
8384.7240 ArI
8387.1053 ThII
8388.5363 ThI
8399.2578 ThI
8403.7965 ThII
8408.2096 ArI
8411.9172 ThI
8416.7269 ThI
8417.9982 ThI
8421.2254 ThI
8424.6475 ArI
8445.4870 ThI
8446.5116 ThI
8450.6754 ThII
8464.2367 ThI
8465.6706 ThI
8471.8260 ThI
8478.3580 ThI
8490.3065 ArI
8510.6240 ThI
8516.5542 ThI
8521.4422 ArI
8539.7930 ThI
8543.7225 ThI
8544.5955 ThI
8554.9440 ThI
8556.3250 ThI
8573.1205 ThI
8577.2768 ThI
8591.8387 ThII
8604.0163 ArII
8605.7762 ArI
8620.4602 ArI
8639.4416 ThI
8645.3087 ThI
8665.4855 ThI
8667.9442 ArI
8678.4083 ArI
8687.8480 ThI
