element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Ar,2,6101.9192,0.0007,,,108.0,,N
Ar,2,6102.765,0.008,,,27.0,,N
Ar,2,6103.5397,0.0005,C,,702.0,,N
Ar,1,6105.635,0.01,C,,270.0,,Y
Ar,2,6108.32,0.02,,,0.0,?,N
Ar,2,6109.15,0.02,,,54.0,p,N
Ar,2,6111.742,0.008,,,54.0,,N
Ar,2,6114.9232,0.0001,B+,,14499.0,,N
Ar,2,6118.724,0.008,E,,108.0,,N
Ar,2,6120.0936,0.0007,,,162.0,,N
Ar,2,6123.3609,0.0006,C+,,540.0,,N
Ar,2,6124.571,0.008,,,81.0,,N
Ar,2,6134.83,0.02,,,0.0,h?,N
Ar,2,6138.6551,0.0005,B,,756.0,,N
Ar,2,6142.615,0.008,,,54.0,,N
Ar,1,6145.441,0.01,C,,270.0,,Y
Ar,2,6146.46,0.02,,,0.0,,N
Ar,2,6166.7835,0.0008,,,108.0,,N
Ar,2,6167.6273,0.0008,,,108.0,,N
Ar,1,6170.174,0.01,C,,189.0,,Y
Ar,2,6172.2775,0.0001,A,,10989.0,,N
Ar,1,6173.096,0.01,C,,270.0,,N
Ar,2,6174.378,0.008,,,81.0,,N
Ar,2,6183.024,0.008,,,54.0,,N
Ar,2,6187.135,0.0008,,,243.0,,N
Ar,2,6192.301,0.008,,,54.0,,N
