element,sp_num,obs_wl_air(A),unc_obs_wl,intens,Aki(s^-1),Acc,Type,blank
Ne,4,2510.4,1.5,6i*,,,,
Ne,7,2513.2,1.0,340,,,,
Ne,2,2513.643,0.010,120,,,,
Ne,7,2516.2,1.0,800*,,,,
Ne,7,2516.2,1.0,800*,,,,
Ne,2,2518.106,0.010,40,,,,
Ne,2,2518.316,0.010,22,,,,
Ne,2,2518.877,0.010,12,,,,
Ne,2,2519.726,0.020,100?bl,,,,
Ne,2,2519.752,0.020,140bl,,,,
Ne,4,2520.5,1.5,6i*,,,,
Ne,4,2520.5,1.5,6i*,,,,
Ne,4,2520.5,1.5,6i*,,,,
Ne,4,2520.5,1.5,6i*,,,,
Ne,3,2522.025,0.010,20,5.8e+05,C,,
Ne,7,2522.2,1.0,400*,,,,
Ne,7,2522.2,1.0,400*,,,,
Ne,2,2523.467,0.010,80,,,,
Ne,2,2524.870,0.010,60,,,,
Ne,7,2525.0,2.0,m,,,,
Ne,2,2530.228,0.010,22,,,,
Ne,8,2531.2,2.0,330bl*,2.11e+08,A,,
Ne,8,2531.2,2.0,330bl*,2.58e+08,A,,
Ne,8,2531.2,2.0,330bl*,2.93e+08,A,,
Ne,8,2531.2,2.0,330bl*,,,,
Ne,8,2531.2,2.0,330bl*,,,,
Ne,2,2532.153,0.020,120bl,,,,
Ne,2,2532.189,0.020,100bl,,,,
Ne,2,2538.510,0.010,120,,,,
Ne,8,2549.2,1.5,130i*,2.17e+07,A,,
Ne,8,2549.2,1.5,130i*,4.89e+07,A,,
Ne,6,2553.7,0.3,50*,,,,
Ne,6,2553.7,0.3,50*,,,,
Ne,7,2554.2,1.0,100,,,,
Ne,6,2556.61,0.03,60,,,,
Ne,7,2557.2,1.0,120,,,,
Ne,2,2560.541,0.010,40,,,,
Ne,1,2561.79,0.02,80,,,,
Ne,2,2561.801,0.010,140,,,,
Ne,2,2562.062,0.020,140?bl,,,,
Ne,2,2562.1230,0.0006,160bl,,,,
Ne,8,2562.2,1.5,50,,,,
Ne,2,2564.423,0.010,22,,,,
Ne,2,2565.858,0.010,140,,,,
Ne,2,2567.124,0.009,180w*,,,,
Ne,2,2567.124,0.009,180w*,,,,
Ne,2,2567.3816,0.0011,140,,,,
Ne,6,2568.56,0.03,140,,,,
Ne,8,2570.2,3.0,120bli*,5.03e+07,A,,
Ne,8,2570.2,3.0,120bli*,1.01e+08,A,,
Ne,7,2570.2,2.0,120bl,,,,
Ne,2,2571.442,0.020,80bl,,,,
Ne,2,2571.464,0.020,100bl,,,,
Ne,2,2572.900,0.010,140,,,,
Ne,2,2574.1299,0.0011,140,,,,
Ne,1,2574.55,0.02,80*,,,,
Ne,1,2574.55,0.02,80*,,,,
Ne,2,2577.943,0.020,40bl,,,,
Ne,2,2577.963,0.020,60bl,,,,
Ne,2,2579.405,0.010,100,,,,
Ne,7,2582.6,1.5,40*,,,,
Ne,7,2582.6,1.5,40*,,,,
Ne,2,2587.886,0.010,80,,,,
Ne,2,2587.960,0.010,100,,,,
Ne,1,2589.48,0.02,20,,,,
Ne,3,2589.9971,0.0010,3000,2.4e+08,C,,
Ne,1,2590.67,0.02,100*,,,,
Ne,1,2590.67,0.02,100*,,,,
Ne,1,2591.15,0.02,30,,,,
Ne,7,2591.7,1.5,30?,,,,
Ne,3,2593.5552,0.0010,2500,2.4e+08,C,,
Ne,1,2594.56,0.02,20,,,,
Ne,1,2595.21,0.02,500,,,,
Ne,3,2595.6498,0.0010,2000,2.4e+08,C,,
Ne,7,2597.2,1.0,60,,,,
Ne,3,2597.2665,0.0010,120,1.5e+07,D,,
Ne,7,2604.2,1.0,40,1.72e+07B,,
Ne,2,2606.006,0.010,100,,,,
Ne,2,2608.0350,0.0006,120,,,,
Ne,3,2610.007,0.010,2000,2.5e+08,C,,
Ne,2,2610.310,0.010,120,,,,
Ne,3,2611.409,0.010,800,2.0e+07,C,,
Ne,3,2612.484,0.010,90,6.0e+05,C,,
Ne,3,2613.4161,0.0010,2000,2.3e+08,C,,
Ne,1,2613.59,0.02,300*,,,,
Ne,1,2613.59,0.02,300*,,,,
Ne,1,2613.9250,0.0010,20,,,,
Ne,1,2614.26,0.02,50,,,,
Ne,3,2614.473,0.010,1000,3.1e+07,C,,
Ne,3,2615.850,0.010,1500,2.1e+08,C,,
Ne,1,2616.62,0.02,250,,,,
Ne,1,2619.02,0.02,50*,,,,
Ne,1,2619.02,0.02,50*,,,,
Ne,1,2619.77,0.02,30,,,,
Ne,2,2620.537,0.010,120,,,,
Ne,1,2621.10,0.02,80,,,,
Ne,2,2621.556,0.010,100,,,,
Ne,1,2622.90,0.02,150,,,,
Ne,2,2623.107,0.003,160,,,,
Ne,2,2623.460,0.010,120,,,,
Ne,2,2625.9839,0.0014,120,,,,
Ne,2,2628.187,0.011,120*,,,,
Ne,2,2628.187,0.011,120*,,,,
Ne,2,2628.327,0.010,60,,,,
Ne,2,2629.7209,0.0006,140,,,,
Ne,2,2629.8857,0.0005,160,,,,
Ne,2,2631.630,0.010,40,,,,
Ne,2,2631.967,0.010,120,,,,
Ne,3,2635.7227,0.0010,240,3.3e+07,C,,
Ne,2,2636.069,0.010,180w*,,,,
Ne,2,2636.069,0.010,180w*,,,,
Ne,8,2636.2,1.5,200*,,,,
Ne,8,2636.2,1.5,200*,,,,
Ne,8,2636.2,1.5,200*,,,,
Ne,8,2636.2,1.5,200*,,,,
Ne,8,2636.2,1.5,200*,,,,
Ne,8,2636.2,1.5,200*,,,,
Ne,2,2636.942,0.010,120,,,,
Ne,2,2637.837,0.010,40,,,,
Ne,2,2638.096,0.010,140,,,,
Ne,2,2638.2879,0.0012,160,,,,
Ne,2,2638.5576,0.0009,140,,,,
Ne,3,2638.6422,0.0010,600,9.5e+07,C,,
Ne,3,2638.695,0.010,150,1.3e+08,C,,
Ne,3,2638.7112,0.0010,1500,1.8e+08,C,,
Ne,3,2639.13,0.10,400,5.9e+06,C,,
Ne,3,2639.1674,0.0010,600,5.5e+07,C,,
Ne,1,2639.97,0.02,150,,,,
Ne,3,2640.559,0.010,1000,1.3e+08,C,,
Ne,2,2640.6654,0.0017,120,,,,
Ne,3,2641.0831,0.0010,1500,2.3e+08,C,,
Ne,2,2641.5282,0.0017,140,,,,
Ne,3,2642.219,0.010,200,7.4e+07,C,,
Ne,3,2642.402,0.010,240,1.00e+08,C,,
Ne,1,2642.47,0.02,80*,,,,
Ne,1,2642.47,0.02,80*,,,,
Ne,2,2643.627,0.010,120,,,,
Ne,2,2643.684,0.010,120,,,,
Ne,2,2644.097,0.003,160,,,,
Ne,1,2645.51,0.02,500,,,,
Ne,2,2645.645,0.010,100bl,,,,
Ne,3,2645.65,0.10,200bl,5.8e+07,D,,
Ne,1,2645.70,0.02,300,,,,
Ne,2,2646.178,0.010,80,,,,
Ne,1,2647.42,0.02,2000,,,,
Ne,1,2647.76,0.02,80,,,,
Ne,1,2648.21,0.02,150,,,,
Ne,1,2648.56,0.02,250,,,,
Ne,3,2650.155,0.010,140,,,,
Ne,1,2651.01,0.02,500,,,,
Ne,2,2651.250,0.012,140w,,,,
Ne,2,2652.593,0.010,100,,,,
Ne,2,2654.301,0.010,22,,,,
Ne,3,2656.96,0.10,700l*,1.1e+08,D,,
Ne,3,2656.96,0.10,700l*,7.8e+07,D,,
Ne,3,2656.96,0.10,700l*,9.5e+07,D,,
Ne,1,2657.52,0.02,150*,,,,
Ne,1,2657.52,0.02,150*,,,,
Ne,2,2666.917,0.010,22,,,,
Ne,1,2667.84,0.02,20,,,,
Ne,2,2667.881,0.010,120,,,,
Ne,8,2668.2,1.5,20,,,,
Ne,2,2668.710,0.010,80,,,,
Ne,2,2669.057,0.010,120,,,,
Ne,1,2669.13,0.02,30,,,,
Ne,2,2670.613,0.020,140w*,,,,
Ne,2,2670.613,0.020,140w*,,,,
Ne,2,2672.194,0.010,40,,,,
