element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Hg,2,3373.333,0.004,,,4000.0,,N
Hg,1,3374.93,0.03,,,-792.0,--,Y
Hg,1,3379.44,0.03,,,-792.0,--,Y
Hg,1,3383.3,0.03,,,-792.0,--,Y
Hg,2,3385.103,0.004,,,16000.0,c,N
Hg,1,3388.78,0.03,,,-792.0,--,Y
Hg,3,3389.01,0.1,,,64.0,,N
Hg,1,3393.71,0.03,,,-792.0,--,Y
Hg,1,3400.68,0.03,,,-792.0,--,Y
Hg,2,3401.389,0.004,,,1600.0,,N
Hg,1,3406.99,0.03,,,-792.0,--,Y
Hg,1,3415.98,0.03,,,-792.0,--,Y
Hg,1,3424.26,0.03,,,-792.0,--,Y
Hg,2,3424.789,0.004,,,3200.0,,N
Hg,2,3427.31,0.004,,,800.0,,N
Hg,2,3429.584,0.004,,,8000.0,c,N
Hg,1,3436.15,0.03,,,-792.0,--,Y
Hg,2,3436.917,0.004,,,3200.0,c,N
Hg,1,3446.64,0.03,,,-792.0,--,Y
Hg,1,3447.27,0.03,,,-792.0,--,Y
Hg,3,3450.77,0.1,,,40.0,,N
Hg,2,3451.689,0.004,,,240000.0,,N
Hg,2,3459.164,0.012,,,2800.0,G,N
Hg,1,3463.52,0.03,,,-792.0,--,Y
Hg,1,3477.16,0.13,,,0.0,,Y
Hg,1,3478.04,0.03,,,-792.0,--,Y
Hg,1,3478.91,0.03,,,-792.0,--,Y
Hg,2,3484.872,0.004,,,3200.0,s,N
Hg,2,3488.399,0.004,,,1200.0,,N
Hg,2,3493.859,0.004,,,64000.0,h,N
Hg,3,3500.35,0.1,,,24.0,,N
Hg,1,3502.0,0.03,,,-792.0,--,Y
Hg,2,3509.758,0.004,,,800.0,h,N
Hg,2,3510.625,0.004,,,6400.0,h,N
Hg,2,3515.164,0.004,,,1600.0,h,N
Hg,2,3515.164,0.004,,,1600.0,h,N
Hg,1,3521.7,0.13,,,0.0,,Y
Hg,1,3523.02,0.03,,,-792.0,--,Y
Hg,1,3524.27,0.03,,,-792.0,--,Y
Hg,2,3532.594,0.004,,,800000.0,,N
Hg,3,3538.88,0.1,,,32.0,,N
Hg,2,3541.352,0.004,,,800.0,h,N
Hg,1,3543.46,0.04,,,480.0,,Y
Hg,2,3549.411,0.004,,,240000.0,,N
Hg,3,3557.24,0.1,,,40.0,,N
Hg,1,3558.73,0.03,,,-792.0,--,Y
Hg,2,3562.385,0.004,,,800.0,,N
Hg,1,3588.85,0.13,,,0.0,,Y
Hg,1,3591.01,0.03,,,-792.0,--,Y
Hg,1,3591.48,0.2,,,8.0,,Y
Hg,1,3592.74,0.03,,,-792.0,--,Y
Hg,2,3602.931,0.004,,,4800.0,c,N
Hg,2,3603.908,0.004,,,12000.0,,N
Hg,2,3604.085,0.004,,,360000.0,c,N
Hg,2,3605.762,0.002,,,800000.0,,N
Hg,2,3606.885,0.004,,,64000.0,,N
Hg,2,3614.875,0.004,,,3600.0,,N
Hg,2,3632.363,0.004,,,64000.0,,N
Hg,2,3643.293,0.004,,,800.0,h,N
Hg,2,3643.293,0.004,,,800.0,h,N
Hg,1,3650.158,0.001,B+,,72000.0,,Y
Hg,1,3654.842,0.001,,,24000.0,,Y
Hg,1,3662.887,0.001,C,,4000.0,,Y
Hg,1,3663.284,0.001,,,16000.0,,Y
Hg,1,3680.211,0.014,,,-792.0,--,Y
Hg,1,3697.79,0.13,,,0.0,,Y
Hg,1,3701.442,0.02,,,400.0,,Y
Hg,1,3702.36,0.1,,,8.0,,Y
Hg,1,3704.1655,0.001,,,72.0,,Y
Hg,2,3751.759,0.004,,,800.0,h,N
Hg,2,3776.141,0.003,,,48000.0,h,N
Hg,2,3777.755,0.003,,,7200.0,,N
Hg,2,3789.727,0.004,,,40.0,,N
Hg,1,3790.0,0.04,,,640.0,,Y
Hg,2,3797.326,0.003,,,48000.0,c,N
Hg,1,3801.6583,0.001,,,400.0,,Y
Hg,3,3803.51,0.1,,,120.0,,N
Hg,2,3806.312,0.003,,,400000.0,,N
Hg,1,3815.8,0.2,,,8.0,,Y
Hg,1,3820.4,0.04,,,400.0,,Y
Hg,2,3828.909,0.004,,,8000.0,,N
Hg,2,3839.259,0.004,,,80000.0,,N
Hg,1,3860.85,0.04,,,240.0,,Y
Hg,2,3883.183,0.004,,,1600.0,,N
Hg,1,3893.86,0.13,,,8.0,,Y
Hg,1,3901.868,0.008,,,240.0,,Y
Hg,1,3903.638,0.02,,,4.0,,Y
Hg,1,3906.371,0.008,,,320.0,,Y
Hg,2,3909.32,0.004,,,3200.0,,N
Hg,2,3913.367,0.004,,,600.0,,N
Hg,2,3914.313,0.004,,,40000.0,,N
Hg,2,3919.264,0.004,,,4000.0,D,N
Hg,2,3940.369,0.016,,,120.0,G,N
