element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Xe,2,2356.72,0.1,,,4.0,h,N
Xe,3,2359.159,0.05,,,0.0,,N
Xe,2,2360.42,0.1,,,1.0,h,N
Xe,2,2362.9,0.1,,,0.0,bl,N
Xe,4,2364.13,0.01,,,4.0,,N
Xe,2,2364.13,0.1,,,0.0,,N
Xe,2,2364.63,0.1,,,0.0,,N
Xe,3,2365.416,0.05,,,14.0,,N
Xe,4,2365.55,0.01,,,4.0,,N
Xe,3,2366.115,0.05,,,12.0,,N
Xe,2,2368.68,0.1,,,5.0,,N
Xe,2,2369.03,0.1,,,0.0,,N
Xe,4,2369.38,0.01,,,1.0,,N
Xe,3,2369.595,0.05,,,18.0,bl,N
Xe,2,2369.62,0.1,,,4.0,h,N
Xe,4,2372.47,0.01,,,6.0,,N
Xe,4,2372.86,0.01,,,3.0,,N
Xe,4,2374.15,0.01,,,3.0,,N
Xe,3,2378.714,0.05,,,0.0,,N
Xe,2,2379.11,0.1,,,0.0,,N
Xe,3,2379.783,0.05,,,3.0,,N
Xe,3,2382.087,0.05,,,11.0,,N
Xe,3,2383.247,0.05,,,13.0,,N
Xe,4,2384.37,0.01,,,2.0,,N
Xe,3,2385.673,0.05,,,11.0,,N
Xe,2,2385.85,0.1,,,1.0,,N
Xe,3,2385.902,0.05,,,8.0,bl,N
Xe,2,2386.14,0.1,,,2.0,h,N
Xe,2,2387.75,0.1,,,4.0,,N
Xe,3,2388.573,0.05,,,11.0,,N
Xe,2,2391.1,0.1,,,2.0,,N
Xe,4,2391.96,0.01,,,4.0,,N
Xe,2,2392.33,0.1,,,2.0,h,N
Xe,3,2392.376,0.05,,,4.0,bl,N
Xe,3,2394.083,0.05,,,10.0,,N
Xe,4,2394.31,0.01,,,5.0,,N
Xe,3,2397.566,0.05,,,8.0,,N
Xe,2,2398.76,0.1,,,4.0,,N
Xe,3,2403.792,0.05,,,9.0,,N
Xe,8,2404.6,0.6,,,-99.0,--,N
Xe,2,2404.84,0.1,,,1.0,,N
Xe,2,2405.92,0.1,,,3.0,h,N
Xe,3,2406.0,0.01,,,0.0,,N
Xe,3,2406.229,0.05,,,1.0,,N
Xe,5,2409.59,0.01,,,11.0,,N
Xe,2,2409.74,0.1,,,40.0,,N
Xe,2,2410.72,0.1,,,7.0,,N
Xe,3,2412.505,0.05,,,6.0,,N
Xe,3,2414.104,0.05,,,2.0,,N
Xe,6,2414.2,0.8,,,-99.0,--,N
Xe,3,2414.23,0.05,,,4.0,,N
Xe,3,2414.544,0.05,,,9.0,,N
Xe,4,2415.61,0.01,,,9.0,,N
Xe,3,2416.72,0.01,,,3.0,*,N
Xe,3,2416.72,0.01,,,3.0,*,N
Xe,3,2418.744,0.05,,,8.0,,N
Xe,2,2419.5,0.1,,,0.0,,N
Xe,3,2419.74,0.05,,,7.0,,N
Xe,2,2420.87,0.1,,,2.0,bl,N
